Paper,Unit,Unit Name,Sub-Topic/Thinker,Directive,Question Text,Year,Marks,1. INTRO (Max 40 words),2. BODY SKELETON (5-6 Bullet Points),3. CONCLUSION (Max 40 words)
Paper I,6,Anthropological theories,Classical evolutionism,Short Note,Write a note on Classical Evolutionism.,-,10,"[Re: Note on Classical Evolutionism] Classical Evolutionism was the dominant 19th-century paradigm (Tylor, Morgan, Frazer). Influenced by Darwinism, it postulated that all human cultures evolve through the same universal, unilineal stages from savagery to civilization.","• Origin of Traits: Evolutionists believed in independent, parallel invention worldwide. Diffusionists believed traits were invented once (or rarely) and spread outward.

• View of Human Nature: Evolutionists saw humans as naturally inventive (Psychic Unity). Diffusionists saw humans as fundamentally uninventive and imitative.

• Methodology: Evolutionists used the speculative 'Comparative Method'. Diffusionists used historical and geographical mapping to track trait migration.

• Extremes: Classical Evolutionism culminated in rigid unilineal stages; extreme British Diffusionism (Grafton Elliot Smith) claimed all civilization originated only in Egypt.","Both paradigms were overly simplistic extremes. Modern anthropology (starting with Boas) synthesizes both, recognizing that cultures change through a complex mix of independent innovation and selective borrowing."
Paper I,6,Anthropological theories,Diffusionism,How,How do Diffusionism & Evolutionism differ as explanations of Culture change?,2015,15,[Re: Diffusionism & Evolutionism differ as explanations of Culture change] Evolutionism and Diffusionism were the two major competing paradigms of early anthropology. They fundamentally differed in explaining how and why cultural changes (like agriculture or metallurgy) appear globally.,,
Paper I,6,Anthropological theories,Diffusionism,"Define, How",Define culture area. How did it help American diffusionists to understand diffusion of culture?,-,15,"[Re: Culture Area & American diffusionists] The ""Culture Area"" concept was developed by American diffusionists Clark Wissler and A.L. Kroeber. It is a geographical region where indigenous populations share a significant number of cultural traits.","• Empirical Mapping: Developed primarily to systematically classify Native American artifacts in museums based on geographic distribution.

• Culture Center vs. Margin: Traits are most concentrated/pure at the ""culture climax"" (center) and become diluted at the margins.

• Environmental Determinism: Acknowledged that geography limits trait diffusion (e.g., Plains Indians sharing bison-hunting traits).

• Rejection of Extremes: Unlike British diffusionists, American diffusionists relied on hard, empirical data and restricted diffusion to localized geographic zones.

• Example: The widespread diffusion of the Sun Dance ritual across the Plains culture area.","It grounded diffusion in empirical reality rather than wild speculation. By linking culture to geography, it laid the crucial theoretical groundwork for Julian Steward's later Cultural Ecology."
Paper I,6,Anthropological theories,Diffusionism,Short Note,Culture Area and Age Area.,-,10,"[Re: Culture Area and Age Area] Clark Wissler formulated the twin concepts of ""Culture Area"" (mapping traits across space) and ""Age-Area"" (inferring time from that spatial distribution) to reconstruct the history of non-literate societies.","• Culture Area: A geographic zone where tribes share a similar complex of material/cultural traits.

• Age-Area Hypothesis: Assumes that cultural traits diffuse outward from a center of invention at a constant rate.

• The Time Inference: Therefore, traits found at the extreme geographic margins of a culture area are the oldest, while traits found only at the center are the newest inventions.

• Example: If a specific moccasin style is found everywhere, it is older than a beadwork pattern found only in the center.

• Critique: Heavier criticized later for assuming diffusion happens at uniform speeds across different terrains.","While mechanically flawed, the Age-Area hypothesis was a pioneering attempt to inject chronological history into the study of indigenous cultures that lacked written records."
Paper I,6,Anthropological theories,Historical Particularism,Discuss,Discuss historical particularism as a critical development to the classical evolutionism.,2024,20,"[Re: Historical particularism as a critical development to classical evolutionism] Founded by Franz Boas, Historical Particularism emerged in the early 20th century as a direct, empirical rebellion against the speculative, unilineal theories of 19th-century Classical Evolutionism.","• Rejection of Unilinealism: Boas proved there is no single path to civilization; each culture is the unique product of its specific history and environment.

• Rejection of Armchair Theorizing: Demanded inductive, rigorous, first-hand fieldwork in native languages before forming any grand theories.

• Cultural Relativism: Destroyed the ethnocentric idea of ""higher/civilized"" vs ""lower/savage"" cultures. Cultures must be judged by their own standards.

• Anti-Racism: Boas physically proved (through cephalic index studies) that biology/race does not determine cultural capacity.

• Focus on Detail: Emphasized collecting exhaustive ethnographic data (myths, language, art).","It fundamentally transformed anthropology from a speculative philosophy into a rigorous, empirical science, acting as the necessary critical cleanser for the discipline's early biases."
Paper I,6,Anthropological theories,Historical Particularism,Short Note,Historical Particularism and Franz Boas.,"2021, 2015",10,"[Re: Historical Particularism and Franz Boas] Franz Boas, the ""Father of American Anthropology,"" introduced Historical Particularism. He argued that to understand a culture, one must exhaustively study its specific historical trajectory, environmental conditions, and psychological factors.","• The Inductive Method: Collect massive amounts of empirical data first; theorize only when the data supports it (opposite of evolutionists).

• The Four-Field Approach: Boas integrated physical, linguistic, archaeological, and cultural anthropology to study humanity holistically.

• Emic Perspective: Insisted on understanding ""the native's point of view"" by mastering indigenous languages.

• Culture as Sui Generis: Culture is an independent entity, not an extension of biology, race, or geography.

• Legacy: Trained an entire generation of intellectual giants (Kroeber, Benedict, Mead) who dominated 20th-century anthropology.",Boas single-handedly professionalized American anthropology. His insistence on cultural relativism and exhaustive fieldwork remains the absolute epistemological bedrock of modern ethnographic research.
Paper I,6,Anthropological theories,Historical Particularism,Critically examine,Critically examine the Historical Particularistic approach of Franz Boas to the study of culture.,-,15,"[Re: Critically examine Historical Particularistic approach] While Historical Particularism saved anthropology from ethnocentric racism and established rigorous fieldwork, its extreme focus on specific cultural details severely hampered the development of generalized anthropological theories.","• Strength - Fieldwork Standard: Established participant observation and linguistic fluency as mandatory.

• Strength - Relativism: Dismantled the justification for colonialism by proving all cultures are equally valid.

• Weakness - Anti-Theoretical: Boasians collected mountains of data but refused to synthesize it, making anthropology overly descriptive.

• Weakness - Ignored Interconnections: Malinowski criticized Boasians for collecting traits like ""butterfly collectors,"" ignoring how institutions function together in the present.

• Weakness - Ahistorical Reality: Ironically, non-literate societies lacked written records, making true ""historical"" reconstruction largely speculative anyway.","It was an essential, corrective phase for anthropology. However, its theoretical sterility eventually triggered the rise of Neo-Evolutionism (White/Steward), which sought to find general, scientific laws of culture again."
Paper I,6,Anthropological theories,Functionalism,Short Note,Functionalism.,2016,10,"[Re: Functionalism (Short Note)] Emerging in the 1920s with Bronislaw Malinowski, Functionalism shifted anthropology's focus entirely away from how cultures evolved in the past, focusing instead on how they work in the present.","• Ahistorical (Synchronic) Approach: Views society as it exists right now, ignoring historical origins or diffusion paths.

• The Organism Analogy: Treats culture like a living biological organism; every part (institution) has a vital function keeping the whole alive.

• Rejection of Survivals: Completely rejected Tylor's idea of useless ""survivals."" If a custom exists today, it must have a current function.

• Participant Observation: Demanded long-term immersion in the field to observe how institutions actually function in daily life.

• Critique: Severely criticized later for being unable to explain historical change or internal social conflict.","Functionalism revolutionized ethnographic methodology. It demanded anthropologists get off the veranda, live with the natives, and find the hidden, pragmatic rationality behind seemingly irrational customs."
Paper I,6,Anthropological theories,Functionalism,"What, Discuss",What is meant by functionalism? Discuss the basic tenets of Malinowski's functionalism?,-,20,"[Re: Basic tenets of Malinowski's functionalism] Bronislaw Malinowski’s brand of ""Biopsychological Functionalism"" posits that all cultural institutions, no matter how bizarre, exist ultimately to fulfill the basic biological and psychological needs of the individual.","• The Individual Focus: Unlike Radcliffe-Brown (who focused on society), Malinowski placed the individual at the center of cultural purpose.

• Basic Needs: 7 biological needs (e.g., Nutrition, Reproduction, Safety) produce direct cultural responses (e.g., Commissariat, Kinship, Protection).

• Instrumental Imperatives: Fulfilling basic needs creates secondary needs (e.g., the need for rules/law to regulate the economy).

• Integrative Imperatives: Psychological needs (anxiety reduction) are fulfilled by Magic, Religion, and Myth.

• The Kula Ring Example: He proved Trobriand islanders' dangerous ocean voyages weren't irrational, but functioned to fulfill economic needs and psychological prestige.","By linking culture directly to human biology and psychology, Malinowski provided a universally applicable framework to demystify exotic customs, proving that ""savage"" behavior is deeply pragmatic."
Paper I,6,Anthropological theories,Structural - Functionalism,Short Note,Structural-functionalism.,2017,10,"[Re: Structural-functionalism (Short Note)] Developed by A.R. Radcliffe-Brown (heavily influenced by Emile Durkheim), Structural-Functionalism analyzes society as a complex network of social relations, where institutions function strictly to maintain social solidarity and equilibrium.","• Focus on Society, not Individual: Blatantly rejected Malinowski's biopsychological needs. Culture exists to maintain the social structure, not the individual.

• Social Structure: The observable, ongoing network of social relationships, driven by Status and Role.

• Concept of Function: The function of any institution (like a ritual or joking relationship) is the contribution it makes to maintaining structural continuity.

• Synchronic Science: Sought to make anthropology a ""natural science of society"" by discovering universal laws of social statics.

• Critique: Accused of presenting societies as static, perfectly harmonious utopias, entirely failing to account for rebellion, warfare, or change.","While too rigid for modern dynamic societies, Radcliffe-Brown gave British Social Anthropology a highly systematic, analytical vocabulary that is still used to map tribal kinship and political organization."
Paper I,6,Anthropological theories,Structural - Functionalism,Short Note,Basic tenets of structural-functionalism.,2017,10,"[Re: Functionalism vs Structural Functionalism] While both emerged in the 1920s to study synchronic societies, Malinowski’s Functionalism focused on biological/psychological needs of the individual, whereas Radcliffe-Brown’s Structural-Functionalism focused on maintaining the social structure.","• The Core Focus: Malinowski centered on individual survival (needs); R-B centered on societal survival (solidarity).

• Concept of Function: For Malinowski, function is satisfying a biological drive (e.g., Kula ring satisfies psychological prestige). For R-B, function is the contribution to social equilibrium (e.g., Joking relationships prevent structural conflict).

• View of Culture: Malinowski saw culture as an instrumental apparatus. R-B viewed society as an organism with interconnected institutions.

• Methodology: Malinowski emphasized deep psychological participant observation; R-B emphasized structural, comparative sociological mapping.","Despite their bitter academic rivalry, their combined paradigms completely eradicated speculative Victorian evolutionism, establishing rigorous, present-day fieldwork as the undisputed gold standard of anthropology."
Paper I,6,Anthropological theories,Structural - Functionalism,In what ways,In what ways is Functionalism different from Structural Functionalism?,2013,20,,,
Paper I,6,Anthropological theories,Structural - Functionalism,Elucidate,"""To Radcliffe-Brown 'function' was the contribution an institution makes to the maintenance of social structure."" Elucidate in the light of Radcliffe-Brown's contributions to structural-functionalism theory.",-,20,"[Re: Radcliffe-Brown's 'function' and structural-functionalism] A.R. Radcliffe-Brown explicitly borrowed the ""organic analogy"" from Emile Durkheim. He defined 'function' strictly as the contribution any social activity makes to the total social life, maintaining structural continuity.","• The Organism Analogy: Society is like a biological organism; institutions (religion, kinship) are organs whose function is to keep the organism alive.

• Social Structure: The observable network of actual social relations (statuses and roles) connecting individuals.

• Structural Continuity: Individuals die and are replaced, but the structure persists because institutions function to regulate behavior and resolve conflict.

• Rejection of Psychology: He vehemently opposed Malinowski’s reduction of culture to biological urges, insisting social facts must be explained by other social facts.

• Example: Taboos function not to reduce individual anxiety, but to enforce societal norms and cohesion.","Radcliffe-Brown provided British Social Anthropology with a highly systematic, rigorous vocabulary, shifting the discipline closer to a ""natural science of society"" rather than historical speculation."
Paper I,6,Anthropological theories,Structuralism,"How, Critically discuss",How does Lévi-Strauss look at the Tsimshian myth of Asdiwal? Critically discuss Lévi-Strauss' theory of structuralism in the light of his study of mythologies.,2024,15,"[Re: Lévi-Strauss & the Tsimshian myth of Asdiwal] Claude Lévi-Strauss used the Tsimshian ""Myth of Asdiwal"" to prove that myths are not primitive fairy tales, but complex logical models designed to resolve underlying, unconscious socio-ecological contradictions.","• The Four Levels of Analysis: He deconstructed the myth across geographic, techno-economic, sociological, and cosmological levels.

• The Core Contradiction: The Tsimshian possessed a severe structural conflict between their matrilocal residence rules and their patrilineal descent/inheritance.

• Myth as Mediation: The myth explores extreme, impossible scenarios (patrilocal vs matrilocal extremes) to demonstrate that both lead to disaster.

• Structuralist Conclusion: The myth acts as a psychological pressure valve; it temporarily resolves in the mind a contradiction that cannot be resolved in reality.","This masterful analysis proved his structuralist theory: human culture, particularly mythology, operates as a profound, unconscious language reflecting the binary logic of the human brain."
Paper I,6,Anthropological theories,Structuralism,How,How do the concepts of binary opposites and exchange figure in Levi-Strauss' structural analysis of kinship?,2016,15,"[Re: Binary opposites and exchange in Levi-Strauss' structural analysis] Heavily influenced by structural linguist Ferdinand de Saussure, Lévi-Strauss argued the human brain universally perceives reality through binary oppositions (Self/Other, Nature/Culture), which are mediated through the exchange of women.","• The Fundamental Binary: The transition from Nature (animal promiscuity) to Culture (human society) is the ultimate binary, triggered by the Incest Taboo.

• The Taboo's Function: It is a negative rule forcing groups to look outward, creating the binary of ""Us"" (consanguines) vs. ""Them"" (affines).

• Mediation through Exchange: To resolve the tension between Us and Them, groups engage in reciprocal exchange (drawing on Marcel Mauss’s gift theory).

• Women as Ultimate Gifts: Exchanging women bridges the binary opposite, converting hostile strangers into allied kin.

• Restricted vs. Generalized: Binary exchange creates elementary structures of restricted (direct) or generalized (asymmetrical) alliance networks.","By reducing complex kinship to unconscious binary logic and mathematical exchange, Lévi-Strauss revolutionized anthropology, shifting focus entirely from biological descent to the mental structures of alliance."
Paper I,6,Anthropological theories,Structuralism,Explain,Explain the structural analysis of kinship as proposed by Levi Strauss.,2021,15,"[Re: Structural analysis of kinship proposed by Levi Strauss (2021)] In The Elementary Structures of Kinship (1949), Lévi-Strauss shifted kinship theory away from descent (blood) to alliance (marriage), arguing the incest taboo forces the reciprocal exchange of women.","• Rejection of Descent Theory: He argued descent groups are secondary; the primary building block of society is the alliance formed by marriage.

• The Atom of Kinship: Requires four roles: Brother, Sister, Father, Son. The uncle-nephew bond is structurally indispensable for the exchange of the sister.

• Positive Rules: ""Elementary"" structures don't just say who you can't marry (incest taboo), they dictate who you must marry (e.g., cross-cousins).

• Symmetrical vs Asymmetrical: Analyzed direct exchange (MBD marriage) versus complex, generalized exchange networks spanning multiple tribes.","Though criticized by feminists for viewing women as ""objects of exchange,"" his structuralism elegantly proved that marriage rules are an unconscious grammar ensuring societal integration."
Paper I,6,Anthropological theories,Structuralism,Short Note,Structural analysis of Myth.,-,10,"[Re: Structural analysis of Myth] Lévi-Strauss argued that myths are the uninhibited playground of the unconscious mind. Stripped of practical constraints, myths reveal the universal binary structures (good/evil, raw/cooked) of human cognition.","• Rejection of Functionalism: Myths do not just validate social charters (Malinowski); they are logical tools to resolve conceptual contradictions.

• Mythemes: The basic building blocks of a myth, similar to phonemes in language. A single mytheme means nothing; meaning derives from their relationship.

• Diachronic vs. Synchronic: Myths are read chronologically (left to right) but must be understood structurally (vertically, grouping similar themes), like reading an orchestral score.

• The Oedipus Example: He deconstructed the Oedipus myth to show it meditates the contradiction between the belief in human autochthony (born from earth) vs. biological reproduction.","His structural analysis of myth remains one of the most intellectually rigorous frameworks in anthropology, proving that ""savage"" thought is as logically complex as modern scientific thought."
Paper I,6,Anthropological theories,Neo evolutionism,Discuss,"Discuss the approaches of Leslie White, Julian Steward and Marshall Sahlins in the light of cultural evolution.",2022,15,"[Re: Approaches of Leslie White, Julian Steward and Marshall Sahlins] Neo-evolutionism revived evolutionary theory in the mid-20th century, stripping it of Victorian ethnocentrism. White, Steward, and Sahlins utilized rigorous empirical data and ecology to create a scientific, materialist evolutionary framework.","• Leslie White (Universal Evolution): Macro-level focus. Argued culture evolves globally as the efficiency of harnessing energy increases ($E \times T = C$).

• Julian Steward (Multilineal Evolution): Micro-level focus. Argued specific cultures evolve along divergent paths based on their adaptation to specific local environments (Cultural Ecology).

• The Conflict: White dismissed Steward as too localized; Steward dismissed White as too abstract.

• The Synthesis (Sahlins & Service): Reconciled both in 1960. They proposed ""Specific Evolution"" (Steward's local adaptation) and ""General Evolution"" (White's overall progress of humanity).","By integrating thermodynamics and ecology, these scholars successfully rehabilitated evolutionary theory, providing modern anthropology with objective, measurable metrics for technological and cultural progression."
Paper I,6,Anthropological theories,Neo evolutionism,"What, Evaluate",What do you understand by Neo-evolutionism? Evaluate how Leslie A White's approach is helpful in understanding cultural revolution.,-,20,"[Re: Neo-evolutionism & Leslie White's approach] Leslie White’s Neo-evolutionism, detailed in The Science of Culture (1949), posited a theory of Universal Evolution. He argued that technological development and energy capture are the sole determinants of cultural evolution.","• The Thermodynamic Law: Culture evolves as the amount of energy harnessed per capita per year increases, or as the efficiency of the instrumental means increases ($E \times T = C$).

• Technological Determinism: Society is divided into Techno-economic, Sociological, and Ideological layers. Technology is the independent variable driving the others.

• The Stages of Energy: 1. Human muscle -> 2. Animal domestication/Agriculture -> 3. Fossil fuels (Industrial Revolution) -> 4. Atomic energy.

• Critique: Criticized for extreme determinism, ignoring the role of human agency, environment, and historical diffusion in shaping culture.","White's approach was revolutionary for removing ethnocentric moral judgments from evolution. He provided a strictly materialist, objective yardstick (energy consumption) to measure human progress."
Paper I,6,Anthropological theories,Neo evolutionism,"What, Evaluate",What do you mean by cultural ecology'? Evaluate how Julian Steward's particularistic approach is helpful in understanding multilineal evolution.,-,20,"[Re: Cultural ecology & Julian Steward's multilineal evolution] Julian Steward rejected the grand, abstract theories of Universal Evolution. He pioneered ""Cultural Ecology"" and ""Multilineal Evolution,"" arguing that similar environmental pressures produce similar, parallel cultural adaptations across the globe.","• Cultural Ecology: The study of how a society adapts its culture to survive in a specific natural environment.

• The Culture Core: The constellation of features most closely related to subsistence activities and economic arrangements (e.g., hunting tools, irrigation systems).

• Secondary Features: Religion and art are peripheral, heavily influenced by the core.

• Methodology: 1. Analyze the environment/technology. 2. Analyze behavior patterns linked to that technology. 3. See how those patterns affect other institutions.

• Example: Demonstrated how early civilizations in arid regions (Peru, Egypt, Mesopotamia) independently developed similar despotic state structures to manage massive irrigation works.","Steward’s particularistic approach firmly grounded evolutionary theory in empirical environmental reality, directly birthing the highly relevant modern sub-field of ecological anthropology."
Paper I,6,Anthropological theories,Neo evolutionism,Short Note,Neo-evolutionism.,-,10,"[Re: Neo-evolutionism (Short Note)] Neo-evolutionism emerged post-WWII to rehabilitate 19th-century evolutionary theory by discarding unilineal ethnocentrism. It sought objective, scientific causes for cultural change, focusing heavily on technology, energy, and environmental adaptation.","• Leslie White: Proposed ""Universal Evolution,"" measuring progress by the thermodynamic formula $E \times T = C$ (Energy x Technology = Culture).

• Julian Steward: Proposed ""Multilineal Evolution"" and ""Cultural Ecology,"" focusing on how specific environments shape the 'Culture Core.'

• Sahlins & Service: Synthesized the two into ""General"" (macro/thermodynamic) and ""Specific"" (micro/ecological) evolution.

• Childe's Contribution: V. Gordon Childe backed this with archaeological evidence of the Neolithic and Urban revolutions.","Neo-evolutionism fundamentally shifted anthropology back toward the search for universal scientific laws, laying the materialist groundwork for later paradigms like Marvin Harris’s Cultural Materialism."
Paper I,6,Anthropological theories,Culture and personality,Critically discuss,Critically discuss the characteristics of the psychological types in the cultures of the American South-West as observed by Ruth Benedict.,2024,20,"[Re: Psychological types in cultures of American South-West (Ruth Benedict)] In her seminal 1934 book Patterns of Culture, Ruth Benedict utilized Gestalt psychology to argue that entire cultures possess a dominant psychological ""ethos,"" essentially acting as ""personality writ large.""","• The Concept: Cultures unconsciously select certain psychological traits from the human spectrum and amplify them, suppressing others.

• Apollonian Type: The Zuni (Pueblo) of the Southwest. Characterized by emotional restraint, moderation, peace, and subordination of the individual to the group.

• Dionysian Type: The Plains Indians or Kwakiutl. Characterized by extreme emotional states, individualism, competitive prestige (Potlatch), and seeking visions through self-torture.

• The Dobu (Paranoia): She also analyzed the Dobu of Melanesia, categorizing their culturally sanctioned treachery and magic as institutionalized paranoia.","Benedict’s work brilliantly demonstrated that what is considered ""normal"" or ""abnormal"" psychology is completely culturally relative, cementing the foundation of the Culture and Personality school."
Paper I,6,Anthropological theories,Culture and personality,"Discuss, Elucidate",Discuss the political and methodological aspects of national character studies. Elucidate the contemporary relevance of such studies.,2023,15,"[Re: National character studies (Methodology and Relevance)] Originating during WWII with anthropologists like Margaret Mead and Ruth Benedict, National Character Studies attempted to deduce the psychological ethos of entire enemy nations ""at a distance"" to aid geopolitical strategy.","• Methodology - Remote Psychoanalysis: Unable to do fieldwork in Axis nations, they analyzed literature, propaganda, films, and interviewed immigrants.

• Benedict's Japan: Wrote The Chrysanthemum and the Sword, identifying Japan's ""shame culture"" (relying on external social sanctions) vs Western ""guilt culture.""

• Gorer's Russia: Proposed the heavily criticized ""Swaddling Hypothesis,"" arguing tightly wrapping Russian infants caused manic-depressive adult national traits.

• Methodological Flaws: Heavily criticized for stereotyping, ignoring class/regional diversity within massive modern nations, and relying on Freudian reductionism.

• Contemporary Relevance: While the WWII methodology is dead, its core intent survives in modern political anthropology, diplomatic profiling, and cross-cultural corporate management strategies.","Though methodologically flawed by assuming massive nations share a single homogeneous personality, these studies represented anthropology's first major foray into applied, geopolitical conflict resolution."
Paper I,6,Anthropological theories,Culture and personality,Critically discuss,Critically discuss the controversies related to fieldwork of Bronislaw Malinowski and Margaret Mead.,2023,20,"[Re: Controversies related to fieldwork of Malinowski and Margaret Mead] The controversies surrounding Malinowski’s diaries and Mead’s Samoan fieldwork in the late 20th century fundamentally shattered the illusion of the ""objective, infallible ethnographer,"" triggering the postmodern crisis of ethnographic authority.","• The Mead-Freeman Controversy: In 1983, Derek Freeman ruthlessly attacked Mead’s Coming of Age in Samoa, claiming she was duped by locals and ignored Samoan violence/rape to force her ""nurture over nature"" thesis.

• The Malinowski Diaries: Published posthumously in 1967, his private diaries revealed intense frustration, isolation, and use of racist slurs against the Trobrianders.

• The Myth of Objectivity: Both events proved that ethnographers are not blank, objective cameras; their personal biases, psychological states, and theoretical agendas heavily distort their data.

• The Reflexive Turn: This forced modern anthropologists to practice ""reflexivity""—explicitly acknowledging their own background and power dynamics in their writing.","Rather than destroying anthropology, these controversies saved it from academic arrogance. They birthed a more honest, self-critical, and ethically transparent era of ethnographic writing."
Paper I,6,Anthropological theories,Culture and personality,Discuss,Discuss various anthropological approaches to the study of personality and culture.,2020,20,[Re: Anthropological approaches to the study of personality and culture] The Culture and Personality school (1930s-1950s) utilized psychoanalytic theory to understand how a society's child-rearing practices generate specific adult psychological traits. It developed three distinct methodological approaches.,"• Configurational Approach (Benedict): Viewed entire cultures as having a single, dominant psychological ""ethos"" (e.g., Apollonian vs. Dionysian) that shapes all individuals.

• Basic Personality Structure (Kardiner & Linton): Argued that shared primary institutions (child-rearing, feeding) create a shared core personality among all members, which then creates secondary institutions (religion/myth).

• Modal Personality (Cora Du Bois): Rejected the idea that everyone shares the exact same personality. Used statistical Rorschach tests in Alor to find the most frequently occurring (modal) personality type.

• Critique: Later criticized for circular reasoning and oversimplifying complex, stratified societies into single psychological stereotypes.","By bridging anthropology and psychology, these approaches successfully proved that human personality is not rigidly biologically hardwired, but is deeply malleable and culturally constructed."
Paper I,6,Anthropological theories,Culture and personality,"What, Illustrate",What do you understand by the National character Study? Illustrate.,2018,15,"[Re: What do you understand by the National character Study? Illustrate.] National Character Studies emerged during WWII (championed by Mead, Benedict, and Gorer) to deduce the collective psychological ""ethos"" of entire modern nations, primarily using remote analysis to aid geopolitical strategy.","• Methodology (Study at a distance): Due to wartime inaccessibility, anthropologists analyzed literature, propaganda, films, and interviewed diaspora/immigrants.

• Illustration 1 (Japan): Ruth Benedict’s The Chrysanthemum and the Sword identified Japan as a ""shame culture"" (relying on external social sanctions) versus Western ""guilt cultures.""

• Illustration 2 (Russia): Geoffrey Gorer's ""Swaddling Hypothesis"" argued that tightly wrapping Russian infants created adult bipolar national traits.

• Critique: Heavily criticized for stereotyping and ignoring internal class/regional diversity within complex, modern nation-states.","While the WWII methodology is largely obsolete due to Freudian reductionism and overgeneralization, the foundational concept survives today in cross-cultural management, political anthropology, and international diplomacy."
Paper I,6,Anthropological theories,Culture and personality,Explain,Explain Ruth Benedict's patterns of culture.,2017,20,"[Re: Explain Ruth Benedict's patterns of culture.] In her seminal 1934 book Patterns of Culture, Ruth Benedict utilized Gestalt psychology to propose that entire cultures are not random collections of traits, but integrated wholes governed by a dominant psychological ""ethos.""","• The Concept of Selection: Out of the vast arc of human potential, each culture unconsciously selects specific psychological traits to amplify, suppressing others.

• Culture as Personality Writ Large: Society acts as a magnifying glass, molding individuals to fit the dominant psychological mold.

• Apollonian Pattern: The Zuni (Pueblo) Indians. Characterized by emotional restraint, moderation, peace, and subordination of the individual to the group.

• Dionysian Pattern: The Plains Indians/Kwakiutl. Characterized by extreme emotional states, individualism, competitive prestige (Potlatch), and seeking visions through excess.

• Paranoid Pattern: The Dobu of Melanesia, whose culture institutionalized treachery, magic, and suspicion.","Benedict’s framework powerfully demonstrated cultural relativism, proving that what is considered ""normal"" or ""deviant"" psychology is entirely dictated by the specific cultural pattern a society adopts."
Paper I,6,Anthropological theories,Culture and personality,Discuss,Discuss the relationship between culture and personality.,-,15,"[Re: Discuss the relationship between culture and personality.] The relationship is deeply symbiotic. The Culture and Personality school (1930s) posited that culture shapes individual psychology through child-rearing, while individuals simultaneously reproduce and alter culture.","• Culture Shapes Personality: Through enculturation and primary institutions (feeding, weaning), society molds the infant's psychological structure (Kardiner's ""Basic Personality Structure"").

• Personality Sustains Culture: These culturally molded individuals then create secondary institutions (religion, myth, folklore) that project their shared psychological anxieties/needs.

• Deviance is Relative: An individual whose personality does not fit the cultural mold is labeled deviant (e.g., an aggressive individual in a cooperative Apollonian society).

• The Limits of Determinism: Cora Du Bois's ""Modal Personality"" approach proved culture doesn't produce identical clones; it produces a statistical frequency of personality types.","Culture and personality are two sides of the same coin. Culture is the external, sociological projection of human psychology, while personality is the internal, subjective internalization of cultural norms."
Paper I,6,Anthropological theories,Culture and personality,Critically discuss,Critically discuss the contributions of Ruth Benedict to the study of culture.,-,15,"[Re: Critically discuss the contributions of Ruth Benedict to the study of culture.] Ruth Benedict bridged the gap between sociology and psychology. Her contributions popularized cultural relativism for the global public, proving human behavior is dictated by cultural patterning, not biological determinism.","• Integrating Psychology (Gestalt): She moved beyond Boasian trait-collecting by arguing that cultures have an integrating psychological ""ethos"" (Apollonian vs. Dionysian).

• Public Anthropology: Patterns of Culture became a massive bestseller, effectively dismantling racist/ethnocentric paradigms for the general Western public.

• Applied Anthropology: Pioneered ""Study at a Distance"" during WWII, writing The Chrysanthemum and the Sword to aid US geopolitical understanding.

• Critical Weakness (Oversimplification): Critics argue she cherry-picked data to fit neat psychological dichotomies, ignoring internal contradictions and subcultures.

• Critical Weakness (Static View): Portrayed cultures as static, closed psychological loops, failing to account for historical change or economic influences.","Despite methodological critiques regarding oversimplification, Benedict's legacy is monumental. She successfully established that human nature is infinitely malleable and fundamentally constructed by the society one is born into."
Paper I,6,Anthropological theories,Cultural materialism,Short Note,Write a note on Culture Materialism.,2019,15,"[Re: Culture Materialism (Marvin Harris)] Marvin Harris introduced Cultural Materialism in 1968, synthesizing Karl Marx’s materialist focus with Leslie White’s evolutionary thermodynamics. It prioritizes strictly objective, measurable, techno-environmental factors to explain cultural phenomena.","• The Tripartite Model: Society consists of Infrastructure (technology/environment/demography), Structure (kinship/politics), and Superstructure (religion/ideology).

• Infrastructural Determinism: The Infrastructure strictly dictates the Structure and Superstructure. Material realities drive cultural change.

• Emic vs. Etic Focus: Harris aggressively championed the ""Etic"" (objective, scientific observer) perspective over the ""Emic"" (native's subjective rationale).

• The Sacred Cow Example: He proved the Hindu beef taboo is not just an irrational religious dogma, but a highly rational, ecological survival strategy (cows provide traction, dung fuel, and milk in agrarian India).","Cultural Materialism provides anthropology with a robust, demystifying lens, stripping away religious or ideological explanations to reveal the harsh, practical ecological realities governing human survival."
